,created_at,username,tweet,language,replies_count,retweets_count,likes_count
49,2021-08-06 02:53:21 India Standard Time,shaikhsaifudd16," https://t.co/Lihem31ey3 The villagers waiting on the road, outside of hospital to take vaccine😢😢 They are waiting from previous night to take tomorrow vaccine, really really🙏🙏 #pathetic  #MamataBanerjee #COVID19 #COVID #COVIDVaccination #SonuSoodRealHero #sonusoodfoundation  https://t.co/SZAaRMX2j1",en,0,0,1
51,2021-08-06 02:41:55 India Standard Time,whymeali,"With such low levels to begin with, I'm really hoping I never get covid",en,0,0,0
52,2021-08-06 02:20:14 India Standard Time,pradeeppenumadu,"In a bid to strengthen India's fight against Corona, Modi government has already released 15% of the COVID-19 Emergency Response &amp; Health System Preparedness Package to states.  The total allocation is worth Rs 12,185.30 crore, and Rs 1,827.80 crore has been disbursed so far.  https://t.co/OtyeUwCs0S",en,0,1,1
60,2021-08-06 00:57:53 India Standard Time,luanthanhnguye7,"The covid-19 pandemic has created a number of new habits, lifestyles, activities and behaviors. What does this predict for us in the future? #COVID19nsw #Covid_19Vietnam #CoronaVirusUpdates #COVID19Vaccine #HCMC  https://t.co/mDVK6dOHWV",en,0,0,2
66,2021-08-06 00:29:57 India Standard Time,krishnakumar222,@narendramodi Covid destroyed my life. Pl help me.i he been voting for bjp for many years. I am from Bangalore.,en,0,0,0
69,2021-08-06 00:00:45 India Standard Time,urvashi_shandil,"#Covid preparedness# UP# let's wake up from Sleep# Fatal#Immediate attention required.  @myogiadityanath @MoHFW_INDIA @narendramodi Sir, pl see this link. State of affairs recorded in this video( if true) are scary.Kindly take necessary action.   https://t.co/Xl5s6YbU5m",en,0,0,0
72,2021-08-05 23:47:00 India Standard Time,mohsinziamohsi1,*Ned higher management is not responding and listening to their students problems and pressuring for physical exams although students and teachers are COVID Positive. @SaeedGhani1 @iqrarulhassan  @HamidMirPAK @geonews_english  @ARYNEWSOFFICIAL  @NaeemRehmanEngr  #NED_TAKE_ONLINE_,en,0,1,0
73,2021-08-05 23:46:39 India Standard Time,anisfrhana,"Kata kan kita dpt covid few days after 2nd dose of vaccine, boleh ke kita request utk ambik 3rd dose just incase the vaccine didn't work out?",en,0,0,0
75,2021-08-05 23:42:50 India Standard Time,drmurukadas,05.08.2021 In India #Covid_19 cases in the last24hrs has seen slight rise to42982compared to  42625y'day. Total cases in India-31855725.The ;recovery- 31855725(97.37%);fatalities- 426290(1.34%)&amp; active cases- 410353(1.29%).With22040 #Kerala has more than50% of India's total cases,en,0,0,0
77,2021-08-05 23:35:34 India Standard Time,faheemkhan086, https://t.co/WFU0AbDE8z Third 🌊 Wave of Covid-19 is going to be here soon -@asadowaisi &amp; @KTRTRS Need to prepare accordingly &amp; implement preventive measures like 🌃 Night Curfew &amp; Restriction of Public Gatherings (Marriages &amp; Functions ) as well as accelerate d Vaccination drive,en,1,3,3
