,tweet,clean_tweet,hastags,attherate,urls,emojis,label
161,"Corona virus protection is very important, please wear a mask.   #Viral #Instagram #Twitter #coronavirus #NewProfilePic #LIKEs  https://t.co/IL0SnDOOwu",corona viru protect import wear mask ,"['#Viral', '#Instagram', '#Twitter', '#coronavirus', '#NewProfilePic', '#LIKEs']",[],['https://t.co/IL0SnDOOwu'],[],2
162,I personally extend my heartfelt #congratulations to all those who have worked tirelessly in the fight against the corona virus.Especially the great personalities of the nation who introduced the vaccine in a short time.I congratulate the Prime Minister of INDIA.  https://t.co/5y8Mq7wtNF,person extend heartfelt work tirelessli fight corona virusespeci great person nation introduc vaccin short timei congratul prime minist india ,['#congratulations'],[],['https://t.co/5y8Mq7wtNF'],[],2
164,@MeghUpdates @ravishndtv @sardesairajdeep @sakshijoshii @BDUTT @rohini_sgh @RanaAyyub @abhisar_sharma This is for them who has problem in taking China's name for corona virus origination!!,problem china corona viru origin ,[],"['@MeghUpdates', '@ravishndtv', '@sardesairajdeep', '@sakshijoshii', '@BDUTT', '@rohini_sgh', '@RanaAyyub', '@abhisar_sharma']",[],[],2
167,British-Indian Hybrid Corona virus variant has been found in #Vietnam . It can be able to transmit easily via air and pretending to be more dangerous than the current ones. More clarification is on the way.  @Drvandanagoel2 @HasanSafin @DrSubhasree #UseMask #WashHands frequently,britishindian hybrid corona viru variant found abl transmit air pretend danger current one clarif way frequent ,"['#Vietnam', '#UseMask', '#WashHands']","['@Drvandanagoel2', '@HasanSafin', '@DrSubhasree']",[],[],2
171,@Naveen_odisha1  Dear sir the reason for requesting is that you are doing repeated lockdown and shutdown. Due to which many people are facing problems. If you lockdown and shutdown then do it all. I think if you completely for 7 days then this Corona virus can stopped.,dear reason request repeat lockdown shutdown peopl face problem lockdown shutdown complet day corona viru stop ,[],['@Naveen_odisha1'],[],[],2
176,"@ChinaDaily Noway, it is moral duty of world powerful nations to have solidarity &amp; allow WHO to conduct impartial findings of origin &amp; to develop vaccine to destroy completely fatal Corona virus. Millions lost their loved one . It has created horrible &amp; horrific situation in our planet..",noway moral duti world power nation solidar allow conduct imparti find origin develop vaccin destroy complet fatal corona viru million lose love creat horribl horrif situat planet ,[],['@ChinaDaily'],[],[],2
178,"Admin are allowing some activities during Corona Curfew from morning 6-11:00am and From 3-7:00pm with a simple condition i.e Maintain Social Distance, follow even odd in operating ur activities .. your little contribution means a lot, let’s break the chain @DCBaramulla @bhatray",admin allow activ corona curfew morn simpl condit maintain social distanc follow odd oper activ littl contribut mean break chain ,[],"['@DCBaramulla', '@bhatray']",[],[],2
180,#Maldives imposes 21:00-04:00 curfew in capital  #StaySafe #SocialDistancing #WashYourHands  #StayHome,impos curfew capit ,"['#Maldives', '#StaySafe', '#SocialDistancing', '#WashYourHands', '#StayHome']",[],[],[],2
181,Maldives imposes 21:00-04:00 curfew in capital Male City,maldiv impos curfew capit male citi ,[],[],[],[],2
182,HPA imposing curfew be like.  https://t.co/v1RYHIZVKH,hpa impos curfew like ,[],[],['https://t.co/v1RYHIZVKH'],[],2
