,tweet,clean_tweet,hastags,attherate,urls,emojis,label
2053,@collectorvalsad @CMOGuj @raval_ias Ek divas thi kai farak nh pade saheb.. Friday 8 Pm thi Monday 6 Am sudhi rakho full lock down and mon to Friday 8 am thi 8 pm chalu bas pachi night curfew.,diva thi kai farak pade saheb friday thi monday sudhi rakho lock mon friday thi chalu pachi night curfew ,[],"['@collectorvalsad', '@CMOGuj', '@raval_ias']",[],[],2
2055,"@Twiggieliks we have 10pm curfew. But outside is just vibes, no mask no social distancing.",curfew outsid vibe mask social distanc ,[],['@Twiggieliks'],[],[],2
2056,Modi &amp; Shah have addressed huge public meetings without wearing masks. Not once asked the large crowds to mask up. This night curfew will be the death knell of the hospitality industry. I fear we will see migrants on the road again.,modi shah address huge public meet wear mask ask larg crowd mask night curfew death knell hospit industri fear migrant road ,[],[],[],[],2
2057,Correct vaccine discover to beat corona virus #LockdownMaharashtra #CoronavirusIndia #BreakTheChain #COVID19India #Curfew #COVIDSecondWave #BanElectionRalliesInCovid #CoronavirusPandemic #Curfew #COVID #Corona  https://t.co/rhBVBFSXbZ,correct vaccin discov beat corona viru ,"['#LockdownMaharashtra', '#CoronavirusIndia', '#BreakTheChain', '#COVID19India', '#Curfew', '#COVIDSecondWave', '#BanElectionRalliesInCovid', '#CoronavirusPandemic', '#Curfew', '#COVID', '#Corona']",[],['https://t.co/rhBVBFSXbZ'],[],2
2059,@KTRTRS Sir keep night curfew sir it will be helpful.@KTRTRS,night curfew help ,[],['@KTRTRS'],[],[],2
2060,@vvinitttwit @mybmc @CPMumbaiPolice @MumbaiPolice But right now curfew is till monday morning 7.00 am isn't it ?   Such activity can wait till that time.,curfew till monday morn isnt activ wait till time ,[],"['@vvinitttwit', '@mybmc', '@CPMumbaiPolice', '@MumbaiPolice']",[],[],2
2061,"@SK_Kabirr Karne hi wale hain full lockdown Mumbai mein, already night curfew hain toh can't go to gym, din mein roza + job",karn wale hain lockdown mumbai mein night curfew hain toh cant gym din mein roza job ,[],['@SK_Kabirr'],[],[],2
2062,"@CMOMaharashtra Namaskar🙏 Humble rqst that instead of cmplt lockdown in Mumbai,kindly restrict all psngrs to board in local trains &amp; limit it to only allowing people associated to essential services.Sir, night curfew would be more effective if can restrict the psngrs in trains",namaskar humbl rqst instead cmplt lockdown mumbaikindli restrict psngr board local train limit allow peopl associ essenti servicessir night curfew effect restrict psngr train ,[],['@CMOMaharashtra'],[],['🙏'],2
2063,Why the hell is the night's curfew  https://t.co/a607E7rdVW,hell night curfew ,[],[],['https://t.co/a607E7rdVW'],[],2
2064,"#Punjab: Two people were arrested for assaulting SHO of Bhargav camp area, Jalandhar after he stopped them for violating night curfew. Police said they are identifying other accused and strict action will be taken against them.  https://t.co/0DAhgKMaH2",peopl arrest assault sho bhargav camp area jalandhar stop violat night curfew polic identifi accus strict action ,['#Punjab:'],[],['https://t.co/0DAhgKMaH2'],[],2
2065,C.J.and his wife are suffering from covid-19. Night Curfew is in major cities in U.P. Why the  Panchayat election is going on ?Where is judiciary ?,cjand wife suffer covid night curfew major citi panchayat elect judiciari ,[],[],[],[],2
2066,"It is Not Corona &amp; Night Curfew, It is Migrant Curfew , Workers Migrate from growth of the Towns &amp; from business, Don't kill the Towns and Economy in Migrant Curfew @ Mangalore, Karnataka, India  https://t.co/eIEr2110Pv",corona night curfew migrant curfew worker migrat growth town busi dont kill town economi migrant curfew mangalor karnataka india ,[],['@'],['https://t.co/eIEr2110Pv'],[],2
2069,"@Migrant_Curfew It is Not Corora &amp; Night Curfew, It is Migrant Curfew   Workers Migrate from growth of the Towns &amp; from business, Don't kill the Towns and Economy in Migrant Curfew @ Mangalore D.C. Office  https://t.co/IHMmw3bIxX",corora night curfew migrant curfew worker migrat growth town busi dont kill town economi migrant curfew mangalor offic ,[],"['@Migrant_Curfew', '@']",['https://t.co/IHMmw3bIxX'],[],2
2070,"*Night Curfew in Mumbra, Maharashtra* 😂  https://t.co/4vprMfqras",night curfew mumbra maharashtra ,[],[],['https://t.co/4vprMfqras'],['😂'],2
2071,"Will any body enlighten me as to how is night curfew going to contain spread of Covid in JK ..After 9 pm the markets and streets are already deserted as we have no night life ,late night pubs and bars,cinema houses or markets in jk . Ban non-essential activities during day time.",bodi enlighten night curfew contain spread covid market street desert night life late night pub barscinema hous market ban nonessenti activ day time ,[],[],[],[],2
2072,@BhavikaKapoor5 Weekend curfew do make some sense. 48 hours - break in chain.   Tricky #nightcurfew 👇   https://t.co/qpy7Ke7k3v,weekend curfew sens hour break chain tricki ,['#nightcurfew'],['@BhavikaKapoor5'],['https://t.co/qpy7Ke7k3v'],['👇'],2
2073,@myogioffice @myogiadityanath Respected Mr. Yogi Adityanath Ji Sir I just want to request you Sir This night curfew would be much better if imposed at 10:00 pm,respect yogi adityanath request night curfew better impos ,[],"['@myogioffice', '@myogiadityanath']",[],[],2
2075,Sabse pehle to yeh Maldives me curfew lagao.. 😠,sabs pehl yeh maldiv curfew lagao ,[],[],[],['😠'],2
2077,"In this COVID situation...  Night curfew is totally like throwing a mug of water into a Active VOLCANO🌋, sir🇮🇳  @narendramodi @PMOIndia @UPGovt  https://t.co/UKTrFaHzay",covid situat night curfew total like throw mug water activ volcano ,[],"['@narendramodi', '@PMOIndia', '@UPGovt']",['https://t.co/UKTrFaHzay'],"['🌋', '🇮🇳']",2
2078,". @AamAadmiParty @BJP4Delhi @INCDelhi @CMODelhi should roll back the #NightCurfew . It only leads to more crowding during the hours that things are kept open. If they don't do it, the @LtGovDelhi should override. Night Curfew is unscientific &amp; unnecessary. Space things out!",roll lead crowd hour thing kept open dont overrid night curfew unscientif unnecessari space thing ,['#NightCurfew'],"['@AamAadmiParty', '@BJP4Delhi', '@INCDelhi', '@CMODelhi', '@LtGovDelhi']",[],[],2
