,username,created_at,replies_count,retweets_count,likes_count,tweet,language
169,Priyanjali Bose ,2021-06-01T09:45:16.000Z,0.0,0.0,0,Thinking about Covid-19 impacted families in my country... #spirit #india  #empathy ,en
170,Subinoy Patra,2021-06-01T09:12:36.000Z,0.0,1.0,2,"#IndiaFightsCorona The entire Govt machinery is working under the resolute leadership of PM Modi to secure Indians from the COVID-19 pandemic.* 

*From sensitizing citizens on safety and social distancing measures at the outbreak of pandemic, 
#7YearsOfSeva",en
171,Ridzsups,2021-06-01T08:08:54.000Z,1.0,0.0,1,One more young life .....covid 19 husband’s colleague from Mumbai #COVID,en
173,Sankar Chakraborty,2021-06-01T02:27:12.000Z,0.0,0.0,1,"These effective vaccines can protect me, my family members and my country from this deadly COVID-19 disease.

I want to thank TCS for arranging this vaccination drive for us at our office premises. 

#VaccinesWork #proudTCSer  #GotTheDose #Unite2FightCorona #TCSVaccinationLeague",en
1,lavish016,2021-06-04 05:27:23 India Standard Time,0.0,0.0,0,Mystery continues even after a year and half!! It's so scary to see mutations growing every quarter or two and having no evidential proof of origin! #COVID19 #Wuhan #WuhanLabLeak #WuhanCovidLabLeak #questiontime  @htTweets @the_hindu @ANI @IndiaToday @PTI_News @thenewshour @ndtv,en
10,arvindrp97,2021-06-04 04:13:32 India Standard Time,1.0,0.0,1,Got the first dose of Covid-19 Vaccine 💉 Thankyou @MuradAliShahPPP @AzraPechuho @Qasimsoomro.  https://t.co/SJ2o9gUcIp,en
12,arvindrp97,2021-06-04 04:10:38 India Standard Time,0.0,0.0,0,"When the #COVID19 is over, I’m throwing my mask in the air like a graduation cap.🎉",en
13,wnewspp,2021-06-04 04:06:40 India Standard Time,0.0,0.0,0,"Britain records 5,274 new COVID cases #COVID19  https://t.co/COgo7nA0IM",en
14,wan_azraai,2021-06-04 04:06:02 India Standard Time,0.0,0.0,0,MCO 3.0 June 2021 #covid_19 Global Pandemic @ Beserah  https://t.co/YZ3b7J4KJ0,en
15,vinod29223298,2021-06-04 03:53:16 India Standard Time,0.0,0.0,0,Vegetables distribution for old people's in covid-19 pademic time,en
16,justtodo18,2021-06-04 03:52:05 India Standard Time,16.0,2.0,4,"FREE RICE ATM - 2021 VERSION He has sold personal cars, bought pickup trucks for charity. Proud of you. #Covid_19 #riceATM #freerice #hochiminhcity #Vietnam  https://t.co/iGildicbDs",en
23,felipelago,2021-06-08 03:03:10 India Standard Time,0.0,0.0,1,"#Climate crisis to shrink G7 economies twice as much as Covid-19, says research  https://t.co/uDPEkXkMq0 #esg",en
25,kathirrrr2,2021-06-08 02:41:24 India Standard Time,1.0,5.0,2,Me #ActorKathiravan InShootingSpot #SceneNumber62 Dialog Preparation #AdamZamar  #ArrestRssBjpLeaders #BTS8thAnniversary #enoughManipal #Familyman2 #food #JUSTICEFORPEARL #KGFChapter2 #Karnataka #Prabhas #quotes #RubinaDilaik #VarnashramaCAA #XRP #YashBOSS #COVID19 #FreeVaccine  https://t.co/2TAyjYcj0Z,en
26,vaibhavgtoi,2021-06-08 02:37:10 India Standard Time,1.0,3.0,6,No funds to pay scholarship dues after #Covid-19 pandemic: Govt to Bombay HC.  Full rpt:  https://t.co/wHDGczWTFp  @timesofindia @TOI_Nagpur @dhananjay_munde @CMOMaharashtra @AbhijitWanjarri @samant_uday @PMOIndia @NCSC_GoI @mswaofficial @RanjitVDeshmukh @NitinRaut_INC @vijaypTOI  https://t.co/Olsge3jVnP,en
27,drdhritineigr,2021-06-08 02:36:19 India Standard Time,0.0,0.0,0,"@TheFalseNo9 Unlike the previous enconunter, India played much much better this time in terms of technicality and planning against Bangladesh. Salute to Sunil bhai, the true legend who in spite of a victim of dreaded COVID19 hardly 3 months back gave one of the best for our Nation 🙏🙏🙏",en
28,kathirrrr2,2021-06-08 02:34:37 India Standard Time,0.0,3.0,2,Me #ActorKathiravan InShootingSpot #SceneNumber62 Dialogue Preparation #AdamZamar  #postponeINICET #SidNaaz #TheFamilyMan2 #UFO #XiaoZhan #XboxSeriesX #YogiAdityanath #YashBOSS #BBK8 #Cryptocurency #COVID19 #COVIDSecondWave #Delhi #GetVaccinatedSoonIndia #Hyderabad #IswaryaMenon  https://t.co/w5VtcIZDJT,en
29,ranvjpspl,2021-06-08 02:31:39 India Standard Time,0.0,1.0,5,#ModiDisasterForIndia  And now Modi government planning to  control the third wave of covid-19 . #ModiDisasterForIndia  https://t.co/g2QBYNPxkU,en
30,aruncps34,2021-06-08 02:24:45 India Standard Time,1.0,0.0,0,"#TamilNadu COVID ""Normal, O2 &amp; ICU""  bed occupancy fill rate %  Update 07June'21 - by district:   - Normal 📉40%   - O2 ↔️ 80%   - ICU ↔️ 80% - for #Ariyalur, #Chengalpattu, #Chennai, #Coimbatore    -  https://t.co/Vsfix11GF8  src:  https://t.co/sW1kKEsNaJ  #TNCoronaUpdate #COVID19  https://t.co/gqsfbYr5yg",en
31,sipgrab,2021-06-08 02:20:04 India Standard Time,0.0,0.0,0,Protein identified as new therapeutic anti-viral target for COVID-19  https://t.co/qV1lgPTjwH #Nifty #sipgrab,en
33,sipgrab,2021-06-08 02:02:03 India Standard Time,0.0,0.0,0,U.S. administers 302.8 million doses of COVID-19 vaccines - CDC  https://t.co/kSNZ8TYV76 #Sipgrab #UnitingPeopleWithThePossibilities,en
