,created_at,username,tweet,language,replies_count,retweets_count,likes_count
147,2021-03-11 00:05:37 India Standard Time,sirajnoorani,"Coronavirus in Pune: PMC's COVID-19 tally rises by 1352, seven fatalities recorded on March 10  #Pune #COVID19    https://t.co/uyD89dGzsp",en,0,0,0
148,2021-03-11 00:01:00 India Standard Time,sirajnoorani,"Candidates appearing for state public service commission (#MPSC) exam on March 14 have been told to #Arrive at the #examcentre three hours #before the exam #timing, mainly for #COVID19 related check-ups.",en,0,0,0
150,2021-03-10 23:56:50 India Standard Time,sirajnoorani,"Manipur Govt puts restrictions on 'Thabal Chongba' which is a major ingredient of the Holi festival popularly known as 'Yaoshang', due to COVID-19.",en,0,0,0
151,2021-03-10 23:55:13 India Standard Time,drmurukadas,10.03.2021 Recently #Covid_19+ve cases in India is showing declining trend.But rise in cases in the last 24 hrs is 17921 slightly lower than yesterday. Total cases today is 11262707  -recovery so far is 10920046 (96.96%);fatalities - 158063 (1.40)&amp;active cases- 184598 (1.64%),en,0,0,1
152,2021-03-10 23:50:40 India Standard Time,sirajnoorani,Private centers for #COVID19 vaccination in BMC limits are allowed to operate 24×7. Centre has approved BMC's proposal in this regard. BMC has requested Center to do necessary changes to its vaccination registration website to facilitate this: BMC   #Mumbai,en,1,0,0
160,2021-03-10 23:37:21 India Standard Time,adv_mahfuzur,@WHCOVIDResponse @WhiteHouse May Allah save every one from Covid-19.,en,2,0,1
162,2021-03-10 23:23:40 India Standard Time,prof_idzwan,Using risk management to encourage Malaysians to get the Covid-19 vaccine #CovidVaccine,en,1,0,2
165,2021-03-10 23:10:59 India Standard Time,mahs_21,"I'm at COVID-19 Vaccination Center in Al Khobar, Ash Sharqiyah  https://t.co/rTLEG64SH7",en,0,0,0
166,2021-03-10 23:04:10 India Standard Time,aslamibrahim1,Got My 1st Jab💉 of Covid19 #PfizerCovidVaccine Thank you #Qatar Now hope to visit #Lka #SriLanka after my 2nd 💉 in the coming months. Hope no Quarantine is needed in Hotels  https://t.co/2z5M9xiGpI,en,1,0,3
170,2021-03-10 22:54:20 India Standard Time,_on75,"I'm at COVID-19 Vaccination Center in Al Khobar, Ash Sharqiyah  https://t.co/mNReteKLV0  https://t.co/sD1ZbPF4K2",en,0,0,0
171,2021-03-10 22:42:09 India Standard Time,saurabh_tatsat,"In India, no one even believes covid-19 happened, so if a long hauler exists they would be dismissed as another bout of flu because of a change in season",en,0,0,1
172,2021-03-10 22:39:21 India Standard Time,vinodsi12723595,BJP National President Shri @JPNadda  has appealed to all party karyakartas that they must undertake these tasks to make the #Covid19 vaccination drive a grand success.  #SevaHiSangathan  https://t.co/6LYdGHRpxu,en,0,0,0
174,2021-03-10 22:31:35 India Standard Time,usfofficials,&gt;&gt; Announcement for HEIs &lt;&lt;  Universities to go Online for two weeks in selected cities. Academic activities will continue online during this period. On-going and pre-scheduled exams can be conducted as planned with complete observance of Covid-19 health and safety protocols.  https://t.co/lzBcvtEj03,en,0,0,4
175,2021-03-10 22:28:12 India Standard Time,abincorportion,Covid-19 🌏 update 10th Mar  2021 ⚠  1710 Positive cases+ *8* Deaths ☠.. *947* Patient Recovered  Recover Rate *_90. 13%_* #COVID19 #abincorporation #coronavirus #pandemic #StayHomeStaySafe #COVID #nagpur #Maharashtra #newsupdate #NewsAlert #news #CoronaVirusUpdates #pandemic  https://t.co/of5tpvTje9,en,0,1,0
181,2021-03-10 22:03:43 India Standard Time,sudharsansubash,"Over 21000 #Covid cases and 114 deaths across the country today. First time in months that more than 20,000 cases have been reported in a single day. #COVID19 #India #TamilNadu #Chennai #Subash",en,0,0,1
185,2021-03-10 21:46:43 India Standard Time,kevinmtoi,As many as 12 first-year PUC students from a private PU college in Mangaluru have been tested positive for Covid- 19 on Wednesday. #COVID19 #COVID19India #Corona,en,0,1,1
189,2021-03-10 21:32:30 India Standard Time,vietnewsgateway,When and how can people register for #COVID19 vaccinations in #Vietnam?  https://t.co/FWlxv9t1vx,en,0,0,1
208,2021-03-10 20:30:37 India Standard Time,eddydaud,"Every body is talking about mental health issues due to Covid19 restrictions.  Me, i have some spiritual issues, i have not been able to perform Jumaat prayers at the mosque for more than 2 months already due to Covid19 restrictions.",en,0,2,16
216,2021-03-13 03:57:42 India Standard Time,profrajeshbjp,"Quad Summit- India to manufacture the single doze J&amp;J Vaccine. US &amp; Japan to finance, Australia to provide logistics for delivery, Under the leadership of PM @narendramodi ji our Nation is a true global partner in the fight against the Covid-19 pandemic.   https://t.co/LlcJomC2ai",en,0,0,3
217,2021-03-13 03:48:14 India Standard Time,sirajnoorani,"Nagaland reported four new positive cases of COVID-19 on friday,adding the total cases to 12221. 3 positive patients have recovered, taking the total number of recovered cases to 11966 with recovery rate of 97.91 percent. At present, there are 10 active Cases in the state.",en,0,0,0
220,2021-03-13 03:44:27 India Standard Time,sirajnoorani,The #Malegaon General #hospital has decided to #increase its #COVID19 #beds from 30 to 100.,en,0,0,0
221,2021-03-13 03:40:11 India Standard Time,sirajnoorani,"Due to increase in #COVID19 cases in Parbhani district, we have decided that lockdown will be imposed tonight from 12 am upto Monday morning 6 am. We appeal to the people of Parbhani and other neighbouring districts, to cooperate: Nawab Malik, #Maharashtra cabinet minister",en,1,0,1
224,2021-03-13 03:37:39 India Standard Time,sirajnoorani,"#Maharashtra: 79 persons including students, teachers and staff of three residential schools (Ashram Shalas) in Jawahar Taluka of Palghar district have tested positive for COVID19 in the last one week",en,0,0,0
225,2021-03-13 03:36:33 India Standard Time,sirajnoorani,"#Maharashtra reports 15,817 new #COVID19 cases, 11,344 discharges and 56 deaths in last 24 hours.  Total cases 22,82,191 Total recoveries 21,17,744 Death toll 52,723  Active cases 1,10,485  https://t.co/90ubiGOqlO",en,1,0,1
226,2021-03-13 03:33:13 India Standard Time,sirajnoorani,"The cumulative number of #COVID19 vaccine doses administered in the country crossed 2.80 crores (2,80,05,817) on March 12, says Union Health Ministry",en,0,0,0
227,2021-03-13 02:52:35 India Standard Time,pankajk99356591,"@PMOIndia @narendramodi Honourable PM Mr.Modi Sir!These are great achievements for our country that the central govt of India   is trying to help in the field of Corona virus Vacc.for the  Covid19 desease and climate change,  science teachnology digital INDIA  Pro.etcfor peopleThanks-- AJ PANKAJ BHAGAT",en,2,0,1
228,2021-03-13 02:46:32 India Standard Time,sipgrab,Variant B.1.1.7 of COVID-19 associated with a significantly higher mortality rate  https://t.co/EQKTQ5H2AM #Nifty #sipgrab,en,0,0,0
229,2021-03-15 04:15:33 India Standard Time,sipgrab,Netherlands halts use of AstraZeneca COVID-19 vaccine -government  https://t.co/ZgfvM4zSzS #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
230,2021-03-15 02:59:02 India Standard Time,sipgrab,: Tesla factory had more than 400 COVID-19 cases after Elon Musk’s defiant reopening: report  https://t.co/r3IH2TT5sD #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
231,2021-03-15 02:13:25 India Standard Time,sirajnoorani,"Maharashtra: Latur district administration imposes night curfew between 8 pm and 5 am in the district; all weekly markets to remain shut till March 31, emergency services exempted.  #COVID19",en,0,0,0
236,2021-03-15 01:42:57 India Standard Time,haneef9100,This is from a txt book of #Microbiology teaching for Medical students published by Jaypee Brothers that #TablighiJamat spread #Covid_19 through Nizamuddin Markaz Mosque This is highly insensitive to portray a community as guilty of spreading a disease @RanaAyyub @TheWaliRahmani  https://t.co/JRUSNpJeKy,en,0,0,1
237,2021-03-15 00:43:33 India Standard Time,sipgrab,Update on the safety of COVID-19 Vaccine AstraZeneca  https://t.co/K4VHiGkTk7 #Nifty #sipgrab,en,0,0,0
239,2021-03-15 00:20:33 India Standard Time,sipgrab,AstraZeneca finds no evidence showing increased risk of blood clots with COVID-19 vaccine  https://t.co/XX9TEtTikL #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
243,2021-03-14 23:43:33 India Standard Time,sipgrab,": One year after COVID-19 was declared a pandemic, is the U.S returning to normal? Many Americans say their finances will take years to recover  https://t.co/CynrUZSNTz #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0,0,0
