,created_at,username,tweet,language,replies_count,retweets_count,likes_count
14,2021-07-05 02:59:59 India Standard Time,drwaheedmiraj,"COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine, study finds.  https://t.co/P0emPoWTxP",en,0,0,4
16,2021-07-05 02:47:07 India Standard Time,7awooory,14 COVID admissions so far 💔,en,0,0,1
29,2021-07-06 05:28:31 India Standard Time,jayanta13998620,Map reveals US covid hotspots with high delta numbers and low vaccinations  https://t.co/LabVr9Gg32 @drharshvardhan,en,0,0,0
33,2021-07-06 04:50:47 India Standard Time,krishanmohankr6,Rise in Testing Infrastructure to Battle COVID-19  via NaMo App  https://t.co/pIRE6vQvjq,en,0,0,0
35,2021-07-06 04:47:52 India Standard Time,krishanmohankr6,Indian Railways Speed Up Fight Against COVID-19   via NaMo App  https://t.co/oBBRVfOidZ,en,0,0,0
41,2021-07-06 04:30:59 India Standard Time,mekotweet,"More than 60 people died in a hospital in Indonesia this weekend after oxygen supplies nearly ran out, as the country battles a severe wave of Covid-19 that authorities say is driven by the more infectious Delta variant.  https://t.co/m5ow5EImFy",en,0,0,0
42,2021-07-06 04:09:21 India Standard Time,mekotweet,816 tested positive for Covid-19 so far today. Results of PCR tests delayed &amp; are lesser due to strike action by certain trade unions of the health sector...  - Army Commander-  https://t.co/MApDlJp2UH,en,0,0,0
47,2021-07-06 03:31:21 India Standard Time,jayanta13998620,@mayankgandhi04 I think type 2 is deadlier than Covid-19 or any other disease for Asians in the existing time,en,0,1,3
53,2021-07-08 05:20:30 India Standard Time,suchisudarshan,"Startling findings by @aiims_newdelhi! Children grapple with anxiety and depression in COVID era. This is not how childhoods should be. Proud that @stc_india team is working hard to restore small joys of childhood. In these times, let's #ThinkOfTheChildren  https://t.co/oE0uwSfnPp",en,0,0,3
98,2021-07-10 04:49:00 India Standard Time,commscraig,"@candicespag For tourists, Qatar is a major airline hub. it gets people visiting on stopovers, business, from all over. During covid it was closed to visitors, but it’s open again from next week.",en,1,0,0
