,words,scores
1483,survey,2
1484,icmr,2
1485,mere,2
1486,analysi,2
1487,chip,2
1488,phone,2
1489,inperson,2
1490,drastic,2
1491,pregnanc,2
1492,sensit,2
1493,accident,2
1494,deputi,2
1495,virolog,2
1496,mutat,2
1497,dub,2
1498,expens,2
1499,dad,2
1500,bare,2
1501,counter,2
1502,british,2
1503,statist,2
1504,surgeri,2
1505,femal,2
1506,pun,2
1507,meningg,2
1508,lepa,2
1509,grab,2
1510,mute,2
1511,selfesteem,2
1512,sport,2
1513,pfatal,2
1514,than,2
1515,jism,2
1516,korangi,2
1517,intamilnadu,2
1518,dip,2
1519,kovai,2
1520,mla,2
1521,irrespons,2
1522,vaxxer,2
1523,unvaccin,2
1524,uttarakhand,2
1525,homeo,2
1526,album,2
1527,agaist,2
1528,technolog,2
1529,milion,2
1530,aliv,2
1531,yearold,2
1532,mom,2
1533,reschedul,2
1534,sept,2
1535,takeov,2
1536,idol,2
1537,investor,2
1538,horror,2
1539,gujarat,2
1540,suicid,2
1541,ayah,2
1542,sebab,2
1543,cremat,2
1544,advanc,2
1545,itni,2
1546,koi,2
1547,itna,2
1548,puri,2
1549,centuri,2
1550,myth,2
1551,aircraft,2
1552,deem,2
1553,quarrentin,2
1554,yuwaah,2
1555,zeal,2
1556,instal,2
1557,wouldnt,2
1558,strongli,2
1559,evid,2
1560,pose,2
1561,weight,2
1562,mallno,2
1563,attach,2
1564,gujrat,2
1565,zoom,2
1566,appeal,2
1567,kiya,2
1568,coverag,2
1569,genuin,2
1570,justifi,2
1571,yoongi,2
1572,hobi,2
1573,warehous,2
1574,mama,2
1575,colombo,2
1576,review,2
1577,eastern,2
1578,alloc,2
1579,lowincom,2
1580,everytim,2
1581,kishtwar,2
1582,regul,2
1583,taught,2
1584,intervent,2
1585,tesla,2
1586,bot,2
1587,invest,2
1588,currenc,2
1589,joy,2
1590,grant,2
1591,zydu,2
1592,closur,2
1593,distort,2
1594,art,2
1595,piec,2
1596,ardern,2
1597,transmit,2
1598,search,2
1599,cassino,2
1600,usd,2
1601,regard,2
1602,elimin,2
1603,gover,2
1604,brave,2
1605,mouth,2
1606,dire,2
1607,interview,2
1608,sympathi,2
1609,gang,2
1610,punish,2
1611,empti,2
1612,abid,2
1613,quiz,2
1614,fish,2
1615,pix,2
1616,fed,2
1617,resili,2
1618,damn,2
1619,portabl,2
1620,band,2
1621,fair,2
1622,salam,2
1623,sadli,2
1624,plate,2
1625,land,2
1626,jan,2
1627,impress,2
1628,sustain,2
1629,thi,2
1630,dutert,2
1631,radh,2
1632,ladi,2
1633,nutrit,2
1634,diet,2
1635,regular,2
1636,drink,2
1637,lifestyl,2
1638,jehovah,2
