tweet,clean_tweet,hastags,attherate,urls,emojis
"The #DeltaVariant is more dangerous than other variants of the virus that causes #COVID19.  Get vaccinated as soon as you can. If you’re in an area of substantial or high transmission, wear a mask indoors in public, even if you’re fully vaccinated.  More:  https://t.co/aDrSAkaRbA.  https://t.co/kyZI8GPtjy",The is more dangerous than other variants of the virus that causes Get vaccinated as soon as you can If you’re in an area of substantial or high transmission wear a mask indoors in public even if you’re fully vaccinated More:  ,"['#DeltaVariant', '#COVID19.']",[],"['https://t.co/aDrSAkaRbA.', 'https://t.co/kyZI8GPtjy']",[]
Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp  MR ravindar12 🙏 you,Every contribution counts Find out how you can also help these organisations fight COVID19 in India  MR ravindar12  you,['#Covid19IndiaHelp'],[],[],"['⬇️', '🙏']"
Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp Be Safe &amp; Keep India Safe.,Every contribution counts Find out how you can also help these organisations fight COVID19 in India  Be Safe amp Keep India Safe,['#Covid19IndiaHelp'],[],[],['⬇️']
129 new COVID-19 positive cases have been reported today on 13-8-2021 in Jammu and Kashmir  https://t.co/F3b4mJely0,129 new COVID19 positive cases have been reported today on 1382021 in Jammu and Kashmir ,[],[],['https://t.co/F3b4mJely0'],[]
"Yet Maldives welcomes Indian tourist despite the fact of Covid19 situations, however Maldivian can’t travel India as tourists even though Maldives is more safer. So called friendship, @abdulla_shahid @HCIMaldives @MoFAmv",Yet Maldives welcomes Indian tourist despite the fact of Covid19 situations however Maldivian can’t travel India as tourists even though Maldives is more safer So called friendship ,[],"['@abdulla_shahid', '@HCIMaldives', '@MoFAmv']",[],[]
@LadyVelvet_HFQ Very rightly indicated respect from #Pakistan needs much more quick direction to defeat #COVID19 through #CovidVaccine on massive scale globally #vaccinated #VaccinEquity need to assure #VaccinesWork properly no discriminate to inject lower quality or mixture of useless #vaccines, Very rightly indicated respect from needs much more quick direction to defeat through on massive scale globally need to assure properly no discriminate to inject lower quality or mixture of useless ,"['#Pakistan', '#COVID19', '#CovidVaccine', '#vaccinated', '#VaccinEquity', '#VaccinesWork', '#vaccines']",['@LadyVelvet_HFQ'],[],[]
"Sir, I am taking follow-up with you because I have lost my job due to covid’19 and my loan EMI is due from last two month. So I would request you kindly release my refund asap.",Sir I am taking followup with you because I have lost my job due to covid’19 and my loan EMI is due from last two month So I would request you kindly release my refund asap,[],[],[],[]
@DrTedros Very rightly indicated respect from #Pakistan needs much more quick direction to defeat #COVID19 through #CovidVaccine on massive scale globally #vaccinated #VaccinEquity need to assure #VaccinesWork properly no discriminate to inject lower quality or mixture of useless #vaccines, Very rightly indicated respect from needs much more quick direction to defeat through on massive scale globally need to assure properly no discriminate to inject lower quality or mixture of useless ,"['#Pakistan', '#COVID19', '#CovidVaccine', '#vaccinated', '#VaccinEquity', '#VaccinesWork', '#vaccines']",['@DrTedros'],[],[]
"@AUThackeray Sir, you can check my Tweets and activities. Do you think I am a cheater or playing politics. @tweeter has been my fmly since last Covid 19. Your people here know my social activities very well. I want you to know what's happening. 🙏", Sir you can check my Tweets and activities Do you think I am a cheater or playing politics has been my fmly since last Covid 19 Your people here know my social activities very well I want you to know whats happening ,[],"['@AUThackeray', '@tweeter']",[],['🙏']
Got vaccinated today  Did you vaccinate?  No! Then get yourself vaccine soon &amp; help break this virus 🦠 chain   #COVID19 #vaccinated  https://t.co/otJdeaGHtS,Got vaccinated today Did you vaccinate No Then get yourself vaccine soon amp help break this virus  chain ,"['#COVID19', '#vaccinated']",[],['https://t.co/otJdeaGHtS'],['🦠']
"Morocco 🇲🇦 Receives 600,000 Doses of the Pfizer Vaccine Today 💉 💉 💉  #Morocco #Maroc #المغرب #Africa #NorthAfrica #pandemic #COVID #COVID19 #Pfizer @pfizer #vaccination #vaccine #Sinopharm   https://t.co/UjDdXGvDQt",Morocco  Receives 600000 Doses of the Pfizer Vaccine Today    ,"['#Morocco', '#Maroc', '#المغرب', '#Africa', '#NorthAfrica', '#pandemic', '#COVID', '#COVID19', '#Pfizer', '#vaccination', '#vaccine', '#Sinopharm']",['@pfizer'],['https://t.co/UjDdXGvDQt'],"['🇲🇦', '💉', '💉', '💉']"
@thehill Great voice towards vaccination supporting from #Pakistan to #Canada for defeating #COVID19 through massive &amp; safe #CovidVaccine as #CovidIsNotOver, Great voice towards vaccination supporting from to for defeating through massive amp safe as ,"['#Pakistan', '#Canada', '#COVID19', '#CovidVaccine', '#CovidIsNotOver']",['@thehill'],[],[]
"Scoring a new milestone, Bhubaneswar has become the first city to achieve 20 Lakh COVID19 vaccination. #naveen4odisha  https://t.co/3jMmK3vYf4",Scoring a new milestone Bhubaneswar has become the first city to achieve 20 Lakh COVID19 vaccination ,['#naveen4odisha'],[],['https://t.co/3jMmK3vYf4'],[]
To compensate the lost time due to Covid-19 pandemic.    https://t.co/RiZTbIQhOO  https://t.co/IJHquTwTRx,To compensate the lost time due to Covid19 pandemic  ,[],[],"['https://t.co/RiZTbIQhOO', 'https://t.co/IJHquTwTRx']",[]
To serve the motherland is a dream for all.but being a laboratory scientist I never thought I could do it until 9th April 2020..All battles r not fought in a battlefield some are in Lab too..Proud to lead a team to fight against #Covid19 &amp; serve the people of #IndiaAt75 #JaiHind  https://t.co/bRTqsUiRZw,To serve the motherland is a dream for allbut being a laboratory scientist I never thought I could do it until 9th April 2020All battles r not fought in a battlefield some are in Lab tooProud to lead a team to fight against amp serve the people of ,"['#Covid19', '#IndiaAt75', '#JaiHind']",[],['https://t.co/bRTqsUiRZw'],[]
Online Classes - Dark Times 2020 New NFT available on @wazirxnft   50% of the profit will go to the Covid Relief Funds.   https://t.co/xq6ALVsAG6  #wazirxnft #nftwazirx #nft #nftcommunity #nftcollector #pandemic #nftart #ravikoranga #darktimes2020 #coronavirus #Covid_19  #COVID19,Online Classes  Dark Times 2020 New NFT available on 50% of the profit will go to the Covid Relief Funds  ,"['#wazirxnft', '#nftwazirx', '#nft', '#nftcommunity', '#nftcollector', '#pandemic', '#nftart', '#ravikoranga', '#darktimes2020', '#coronavirus', '#Covid_19', '#COVID19']",['@wazirxnft'],['https://t.co/xq6ALVsAG6'],[]
