,created_at,username,tweet,language,replies_count,retweets_count,likes_count
154,2021-08-10 20:37:41 India Standard Time,shishirgamang,"Today flying to Delhi or outside Odisha after 1 and half years, flying completely feels different after corona virus  https://t.co/i1MJ6SfeE8",en,1,0,18
155,2021-08-10 20:20:56 India Standard Time,vietnewsgateway,"#Vietnam confirms nearly 8,400 new local #coronavirus cases  https://t.co/3xEbzF6g3g",en,0,2,6
156,2021-08-10 19:07:18 India Standard Time,srilankatweet,"So far today 1,992 coronavirus cases report in Sri Lanka. #LKA #SriLanka #COVID19SL #COVID19LK",en,0,5,49
160,2021-08-10 16:14:35 India Standard Time,pathitta1978,"From April 10, 2021.. Until August 10, 2021.. It has been 4 months now, since I closed the bar that because the problem of the spreading of the Corona virus again.  #Covid19 #Lockdown  #Curfew  #SaveKanchanaburiAndThailand  #PrayForKanchanaburiAndThailand  #MonkeyBarKanchanaburi  https://t.co/WIYJ95Fs9Q",en,2,0,2
161,2021-08-10 14:39:18 India Standard Time,jattsurinder,@OfficialDMRC  is this stoping corona virus. Running from your duties . Common people are dying . You guys like apda m bhi avsar. All gates closed just one open from ancient time. Even after covid this will be continued.  https://t.co/m6rF51mLcs,en,0,0,0
162,2021-08-10 13:24:14 India Standard Time,ranipet999, https://t.co/7HbitaKJaF Neem magic to control Corona virus. Neem agronomist.,en,0,1,0
166,2021-08-14 03:53:56 India Standard Time,viyofm,"THE LORD is warning you to repent and that HE will bring down the wall that they are using for their defense. When THE LORD comes back to the people who have rejected HIM, normally HE comes with purging. Like The Coronavirus.#TreasureInJesus",en,0,0,1
167,2021-08-14 01:15:29 India Standard Time,viyofm,"Whenever judgement comes, after judgement comes repentance and people return to THE LORD. THE LORD is asking this generation why they have not then returned after the judgement of the Coronavirus which is still raging? #TreasureInJesus",en,0,0,1
168,2021-08-13 23:59:17 India Standard Time,iravikoranga,Online Classes - Dark Times 2020 New NFT available on @wazirxnft   50% of the profit will go to the Covid Relief Funds.   https://t.co/xq6ALVsAG6  #wazirxnft #nftwazirx #nft #nftcommunity #nftcollector #pandemic #nftart #ravikoranga #darktimes2020 #coronavirus #Covid_19  #COVID19,en,0,1,0
169,2021-08-13 23:04:53 India Standard Time,jasghar,In beginning #coronavirus in #Pakistan came through #Iran &amp; both countries are linked with close ties Iran is going through a massive surge of cases &amp; deaths Pakistan has much fewer cases but also doing many times fewer testing than Iran Reasons why Pakistan has fewer cases?  https://t.co/Fe7jaBttWZ,en,1,2,7
170,2021-08-13 22:18:06 India Standard Time,alwaysapd,"In #Pune, #masks are #vanishing #faster than #coronavirus. How #irresponsible!!  #TakeCare #StaySafe",en,0,0,0
171,2021-08-13 21:33:05 India Standard Time,menakaw9,Media Release – 2021.08.13 Covid death figures reported today 2021.08.13 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/noNhijKQCR,en,1,2,1
172,2021-08-13 21:25:51 India Standard Time,srilankatweet,So far today 3142 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,0,14,66
173,2021-08-13 21:09:53 India Standard Time,varnasuthan1104,155 COVID-19 deaths confirmed for Thursday (12) : DG Health Services 🦠  #LKA #SriLanka #COVID19SL #StayHome #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate #lka #NEWS,en,0,0,0
174,2021-08-13 20:59:49 India Standard Time,varnasuthan1104,Be safe 😷  #LKA #SriLanka #COVID19SL #StayHome #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate #lka #NEWS  https://t.co/VFdeyRvRn8,en,0,1,1
175,2021-08-13 19:55:03 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/hVHjalkEta,en,0,0,0
179,2021-08-13 19:51:45 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/DnluFkcq9m,en,0,0,0
