,created_at,username,tweet,language,replies_count,retweets_count,likes_count
168,2021-07-09 18:27:53 India Standard Time,menakaw9,Media Release  Covid death figures reported today 09.07.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/DNmHvktmlm,en,0,4,3
170,2021-07-09 18:14:06 India Standard Time,srilankatweet,So far today 964 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,1,9,48
172,2021-07-09 18:06:38 India Standard Time,drjunaidmalam,"@HamidMirPAK They r students leaders who sometime protest for reasons unwise and far away from reality. Most of students didn't studied since last 9 to 12 months, enjoying coronavirus pandemic vacations... Very small portion is genuine affectee, rest r opportunist.",en,0,0,2
173,2021-07-09 17:56:40 India Standard Time,fahim_parekh,Corona Virus Tou Netflix Ka Season hogaya hai....,en,0,0,0
175,2021-07-09 17:25:32 India Standard Time,srilankatweet,43 coronavirus related deaths confirmed for July 8th #LKA #SriLanka,en,0,5,24
176,2021-07-09 16:27:04 India Standard Time,nairroshan,"“The devastating 2nd wave of the coronavirus pandemic in April-May is estimated to have cost the nation Rs 2 lakh crore in terms of output, revealed an assessment made by the Reserve Bank.”  Modi was trying to save 36,000 crores by not ordering vaccines.  https://t.co/xuKqodvk8b",en,0,0,0
177,2021-07-09 16:23:09 India Standard Time,kumrattourism,The event #Jeshni #Kumrat is held in the month of #August in Dir Valley. All kinds of games are held in the #event. Which are played on different #grounds in #Dir Valley and #kumrat Valley.But due to the #corona #virus these events have not been #held here for the first two years  https://t.co/mv4aIPIpU8,en,0,2,7
178,2021-07-09 15:49:01 India Standard Time,srilankatweet,Don't forget ! Coronavirus is not over yet❗ Follow health guidelines 🙏 🔹Wash your hands 🔹Wear Face Mask 🔹Maintain Social Distance #LKA #COVID19SL #SriLanka @WHOSriLanka @HPBSriLanka  https://t.co/97U3HEBcgb,en,5,12,49
181,2021-07-09 15:36:59 India Standard Time,sushrutksingh,"Always Remember to wear mask whenever moving out of your home.  Always Remember this three reasons for wearing masks to control the spreading of coronavirus in our country.  Together we will wear masks, together we will become covid free country soon.  #COVID19 #CovidIsNotOver  https://t.co/VsMouvTyBC",en,1,0,2
182,2021-07-09 15:25:34 India Standard Time,drginisha,"Very important message conveyed as simply as it can be. Increased social mixing, circulating #coronavirus, &amp; decreased compliance of #Covid_19 appropriate behavior is a BIG problem. We all need to work at our level - individual, community, country.  https://t.co/drmTNRj9iT",en,0,0,0
185,2021-07-11 02:06:46 India Standard Time,j2rforever,@SaffronSunanda I just looked at the no. n thought it is the count for Coronavirus cases.😕,en,0,0,0
186,2021-07-11 00:04:19 India Standard Time,csrajan,Watch our Special series Bio Quest on @DDIndialive as we try to unravel the Origin of the Coronavirus..,en,0,3,13
187,2021-07-10 23:57:25 India Standard Time,archivedkel,"@JamesWard73 12 to 17 year olds are indeed suitable to take the coronavirus vaccine, as evident from Singapore's vaccination drive.",en,0,1,3
188,2021-07-10 23:50:29 India Standard Time,jayanta13998620,When will India be free of coronavirus? ICMR expert says COVID may become a flu-like endemic  https://t.co/zVwxzQvVwy,en,0,0,0
189,2021-07-10 23:10:58 India Standard Time,menakaw9,Media Release – 2021.07.10 Covid death figures reported today 10.07.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/aoXOIKg5Xg,en,0,4,2
192,2021-07-10 21:38:43 India Standard Time,sharmithashetty,"July 10th stats, * 2162 new #COVID19 cases in #Karnataka  * 452 new cases found in #Bangalore ( 5 deaths) * 48 deaths due to #coronavirus  https://t.co/7FnY93nik7",en,0,1,6
197,2021-07-10 21:10:05 India Standard Time,soundirarajanr,Coronavirus death husband wife enjoy death best life  https://t.co/BThrpcQRVf,en,0,0,0
198,2021-07-10 21:09:21 India Standard Time,soundirarajanr,Coronavirus marriage home marriage small group marriage and low budget cost marriage  https://t.co/WqTm8cGtGq,en,0,0,0
